sales,quantity,profit
261.96,2,419136.0
731.94,3,219582.0
14.62,2,2488915.0
9575775.0,5,-383031.0
22368.0,2,1192184.0
48.86,7,141694.0
7.28,4,2832823.0
907152.0,6,907152.0
18504.0,3,2164184.0
114.9,5,34.47
1706184.0,9,853092.0
911424.0,4,683568.0
15552.0,3,924917.0
407976.0,3,1325922.0
68.81,5,-123858.0
2544.0,3,-3816.0
665.88,6,133176.0
55.5,2,9.99
8.56,2,1068002.0
213.48,3,16011.0
22.72,4,7384.0
19.46,7,-476153.0
60.34,7,156884.0
71372.0,2,-10196.0
1044.63,3,2402649.0
11648.0,2,118431.0
90.57,3,2133688.0
3083.43,7,-16650522.0
9618.0,2,-70532.0
124.2,3,15525.0
3264.0,2,-322873.0
86304.0,6,1896585.0
6858.0,6,-5715.0
15.76,2,3546.0
29472.0,3,2764401.0
1097544.0,7,1234737.0
190.92,5,-147963.0
113328.0,9,35415.0
5323992.0,3,-469764.0
212058.0,3,-15147.0
371168.0,4,417564.0
147168.0,4,165564.0
77.88,2,3894.0
95616.0,2,1357487.0
45.98,2,197714.0
17.46,2,59384.0
211.96,4,1053574.0
45.0,3,4.95
44429.0,2,6104.0
38.22,6,179634.0
75.18,6,353346.0
6.16,2,2800712.0
89.99,1,170981.0
15.26,7,243405.0
1029.95,5,2986855.0
208.56,6,52.14
32.4,5,15552.0
319.41,5,7098.0
14.56,2,2917711.0
30.0,2,44258.0
48.48,4,16362.0
1.68,1,0.84
13.98,2,-141561.0
25824.0,6,625541.0
146.73,3,689631.0
79.76,4,223328.0
213115.0,5,-152225.0
1113024.0,8,1113024.0
167968.0,4,62988.0
75.88,2,356636.0
4616.0,1,1731.0
44335.0,3,8763.0
831936.0,8,-1143912.0
97.04,2,1213.0
72784.0,1,-18196.0
1248.0,3,-19344.0
9708.0,3,-58248.0
27.24,3,2724.0
44274.0,5,-14475.0
208.16,1,562032.0
16.74,3,-565181.0
44453.0,5,4172.0
21.39,1,48000.0
200984.0,7,628075.0
230376.0,3,-489549.0
301.96,2,332156.0
19.99,1,2215714.0
6.16,2,2800712.0
158368.0,7,138572.0
44216.0,3,6633.0
73584.0,2,322358.0
6.48,1,-290672.0
12.96,2,112648.0
53.34,3,165354.0
32.96,2,161504.0
5682.0,1,-3788.0
96.53,7,405426.0
51312.0,3,179592.0
77.88,6,225852.0
64624.0,7,226184.0
95976.0,3,-107973.0
1788.0,3,-30396.0
23.92,4,1939014.0
238896.0,6,-268758.0
102.36,3,-38385.0
36882.0,3,-258174.0
74112.0,8,176016.0
27992.0,1,-330876.0
3304.0,1,-424410.0
339.96,5,67992.0
41.96,2,2628561.0
75.96,2,22788.0
27.24,6,133476.0
40096.0,14,145348.0
4.72,2,1652.0
23976.0,3,1105042.0
130464.0,6,440316.0
787.53,3,1653813.0
157794.0,1,-1157156.0
47.04,3,183456.0
30.84,4,13878.0
226.56,6,634368.0
115.02,9,51759.0
68.04,7,197316.0
600558.0,3,-85794.0
617.7,6,-407682.0
2388.0,2,-18308.0
243992.0,7,30499.0
81424.0,2,-91602.0
238.56,3,262416.0
59.97,5,-11994.0
78304.0,2,29364.0
21456.0,9,2860733.0
44306.0,3,1567867.0
35.44,1,166568.0
11.52,4,3456.0
44231.0,2,2848164.0
76176.0,3,266616.0
65.88,6,184464.0
43.12,14,206976.0
82.8,2,10.35
8.82,3,699107.0
10.86,3,-313256.0
143.7,3,68976.0
839.43,3,2182518.0
671.93,7,201579.0
93888.0,4,2628622.0
384.45,11,1038015.0
149.97,3,2954204.0
1951.84,8,585552.0
171.55,5,806285.0
157.92,5,17766.0
203184.0,2,152388.0
58.38,7,26271.0
105.52,4,485392.0
80.88,6,210288.0
6.63,3,2191822.0
457568.0,2,514764.0
14.62,2,2488915.0
944.93,7,2362325.0
5.98,1,2691.0
54384.0,2,619453.0
44314.0,5,13348.0
27.68,2,9688.0
9936.0,3,1981108.0
8159952.0,8,-1359992.0
275928.0,3,-586347.0
-58285.0,9,-24858.0
32064.0,6,2277806.0
177.98,5,-453849.0
143976.0,3,2953200.0
20.94,3,2380896.0
110.96,2,532608.0
340144.0,7,21259.0
52448.0,2,-131.12
20.16,4,6552.0
97264.0,4,-243.16
396802.0,7,-113372.0
15.88,5,-37715.0
3.28,1,804996.0
24816.0,2,2451509.0
408744.0,7,766395.0
503.96,4,1310296.0
149.95,5,41986.0
29.0,2,7.25
7.16,2,901480.0
176.8,8,22984.0
37224.0,3,1944613.0
20016.0,3,6255.0
899136.0,4,112392.0
71.76,6,200928.0
51.84,8,248832.0
626352.0,3,469764.0
44458.0,5,6567.0
14.28,7,1905258.0
7408.0,2,50406.0
6048.0,3,1452206.0
46.26,3,-592817.0
2946.0,2,-22586.0
16056.0,3,2302245.0
21744.0,3,6795.0
218.75,2,-161875.0
44349.0,1,2925.0
66284.0,2,-1789668.0
35168.0,7,1757792.0
444768.0,4,444768.0
83.92,4,2499842.0
131.98,2,356346.0
15.92,4,1068153.0
52.29,9,162099.0
91.99,1,1788289.0
44428.0,2,44322.0
23.68,2,8.88
452.45,5,-244323.0
62982.0,3,-146958.0
1188.0,9,-950.4
89584.0,2,1056374.0
93.06,6,260568.0
302376.0,3,226782.0
5584.0,2,2282037.0
22704.0,6,147041.0
19776.0,4,-138432.0
72704.0,4,190848.0
479988.0,4,-3839904.0
27168.0,2,1924130.0
44229.0,1,968.0
622.45,5,136939.0
21.98,1,2198.0
161568.0,2,-282744.0
389696.0,8,438408.0
18648.0,7,-12432.0
233.86,2,-102048.0
6206145.0,3,-2482458.0
5328.0,2,-3552.0
258072.0,3,0.0
617976.0,3,-77247.0
10.56,2,4752.0
25.92,5,9396.0
419.68,5,-356728.0
11688.0,3,-46752.0
31984.0,2,16377.0
177225.0,5,-120513.0
4044.0,3,-28308.0
7408.0,2,50406.0
2001.86,7,5805394.0
166.72,2,41.68
47.88,6,23.94
1503.25,5,4960725.0
25.92,4,919287.0
321568.0,2,281372.0
7.61,1,1412454.0
3347.37,13,6360003.0
80.58,6,225624.0
361.92,4,162864.0
12132.0,9,-84924.0
82368.0,2,-195624.0
53.92,5,4044.0
647904.0,6,566916.0
20.37,3,2687608.0
221.55,3,1667486.0
17.52,5,6132.0
1624.0,2,-4466.0
3059982.0,3,-509997.0
2519958.0,7,-2519958.0
328224.0,4,287196.0
79.9,2,35156.0
14016.0,3,1973863.0
7.56,6,3024.0
37208.0,1,-74416.0
57576.0,3,21591.0
725.84,4,2104936.0
209.93,7,923692.0
5.28,3,486536.0
10.92,3,4095.0
8.82,2,-484949.0
5.98,1,1332406.0
11648.0,2,-413362.0
18176.0,4,2619642.0
59712.0,6,2853397.0
24.84,3,8694.0
44410.0,5,-3432.0
-286989.0,7,376.11
1038.84,5,51942.0
141.76,5,47844.0
239.8,5,47.96
31104.0,6,2543825.0
254058.0,7,-169372.0
194528.0,2,24316.0
961.48,5,-2043145.0
19096.0,7,1802991.0
18496.0,8,191541.0
255984.0,2,543966.0
86.97,3,-487032.0
300416.0,8,788592.0
230352.0,3,201558.0
218352.0,3,-245646.0
78.6,5,-62.88
27552.0,3,397630.0
32.4,5,15552.0
1082.48,8,2318835.0
56.91,3,273168.0
77.6,4,38024.0
14.28,1,1383693.0
219075.0,3,-131445.0
44434.0,2,12864.0
9.84,3,2423782.0
45.48,3,209208.0
289.2,6,83868.0
4.89,1,17930.0
15136.0,4,1478563.0
466768.0,2,525114.0
15232.0,1,1912411.0
6264.0,3,-563171.0
87.54,3,376422.0
178384.0,2,22298.0
15552.0,3,924917.0
99136.0,4,1769449.0
135882.0,1,241568.0
3991.98,2,1995.99
275.94,6,800226.0
360.0,4,129.6
43.57,1,13071.0
7.16,2,3.58
251.52,6,81744.0
99.99,1,349965.0
15992.0,1,9995.0
290898.0,3,-678762.0
54224.0,2,3389.0
786744.0,4,-2585016.0
100.24,10,33831.0
37764.0,6,-276936.0
82.8,2,-20.7
20724.0,2,-13816.0
4896.0,3,-34272.0
4752.0,1,1511376.0
959984.0,2,3359944.0
14368.0,4,4.49
7712.0,2,2211941.0
698352.0,3,-174588.0
4.96,4,515755.0
17856.0,4,1116.0
509.97,10,-407976.0
30992.0,13,-429250.0
71928.0,12,736543.0
88.8,4,-2.22
47976.0,3,2219306.0
7.56,3,-330117.0
24.56,2,1290343.0
12.96,2,-156231.0
6.79,1,433211.0
24.56,2,1290343.0
3048.0,1,-449977.0
49.12,4,230864.0
4355168.0,4,14154296.0
388704.0,6,-48588.0
8.26,2,2226580.0
44303.0,4,2908945.0
34.4,5,15824.0
36.24,5,11325.0
647.84,8,1684384.0
44397.0,2,9936.0
44397.0,2,9936.0
488646.0,3,868704.0
5.56,2,933562.0
47.12,8,207328.0
211.96,4,1053574.0
44250.0,4,10.44
7.36,2,1472.0
104.79,7,293412.0
1043.92,4,2714192.0
25.92,5,9396.0
53424.0,3,1770057.0
8.16,5,-5712.0
1023936.0,8,1791888.0
9.24,1,924.0
479.04,10,-29.94
99136.0,4,30.98
1488424.0,7,-2976848.0
8652.0,3,-203322.0
23832.0,3,1793739.0
12176.0,4,-188728.0
50.96,7,25.48
49536.0,3,173376.0
41.9,2,8799.0
3754575.0,3,-1570095.0
83976.0,3,-10497.0
482.34,4,-337638.0
2.96,1,777.0
2624.0,1,4264.0
23.36,4,7884.0
39.98,2,135932.0
246384.0,2,277182.0
1799.97,3,7019883.0
12462.0,3,-205623.0
75792.0,3,255798.0
49.96,2,1104739.0
12.96,2,112648.0
70.12,4,21036.0
35952.0,3,1480024.0
23962656.0,4,-3171528.0
131136.0,4,-32784.0
57584.0,2,7198.0
9568.0,2,1016897.0
39072.0,6,9768.0
35.91,3,1847277.0
179.95,5,377895.0
1199976.0,3,4349913.0
27.15,5,133035.0
1004024.0,7,-1129527.0
9.68,1,1667060.0
28.35,9,13608.0
55.98,1,274302.0
1336829.0,13,314548.0
113568.0,2,-184548.0
139.86,7,657342.0
307136.0,4,268744.0
95.92,8,258984.0
383.8,5,38.38
5.78,1,2345620.0
9.32,4,1872996.0
15.25,1,7015.0
196752.0,6,565662.0
56.56,4,147056.0
32.7,3,8502.0
866.4,4,225264.0
44314.0,2,11076.0
287.92,8,1382016.0
69.99,1,300957.0
6672.0,6,5004.0
189588.0,2,-1453508.0
408744.0,7,766395.0
291.96,5,547425.0
4768.0,2,-7748.0
714.3,5,207147.0
4812.0,2,-36892.0
247.8,5,-18585.0
1007979.0,3,431991.0
313488.0,7,1136394.0
31872.0,8,1328328.0
207846.0,3,436133.0
12.22,1,3666.0
194.94,3,233928.0
70.95,3,205755.0
91.36,4,420256.0
242.94,3,291528.0
44338.0,7,10584.0
2.91,1,649039.0
59.52,3,154752.0
161.94,3,1922882.0
263.88,6,712476.0
30.48,3,2683986.0
9.84,3,2423782.0
35.12,4,-214517.0
284364.0,2,-758304.0
665408.0,2,665408.0
63.88,4,249132.0
129568.0,2,-24294.0
747558.0,3,-961146.0
8928.0,2,3348.0
103.92,4,36372.0
899.91,9,3779622.0
51312.0,3,186006.0
23.56,5,7068.0
1272.63,6,-8144832.0
28485.0,5,-20889.0
185376.0,2,-34758.0
78272.0,2,2485232.0
254744.0,7,-3120614.0
2053328.0,2,-362352.0
4788.0,3,-79002.0
55.48,1,266304.0
340.92,3,800674.0
222666.0,2,1053635.0
703968.0,4,87996.0
92.52,6,249804.0
62.65,7,28819.0
94.85,5,45528.0
95.76,6,7182.0
40.2,3,19296.0
44391.0,5,6615.0
704.25,5,84.51
44448.0,3,2625731.0
5.96,2,1748783.0
159.98,2,575928.0
44376.0,2,44422.0
514165.0,5,-30245.0
279.96,5,174975.0
2735952.0,6,341994.0
7992.0,1,5994.0
63984.0,2,757788.0
70368.0,2,-119646.0
449.15,5,8983.0
44388.0,3,-357085.0
93.98,2,131572.0
189882.0,3,-94941.0
105.42,2,516558.0
119616.0,8,403704.0
255.76,4,818432.0
241568.0,2,181176.0
69.3,9,22869.0
22.62,2,-15.08
14952.0,2,-119616.0
801568.0,2,50098.0
2376.0,3,-19008.0
32792.0,1,2546412.0
15.92,5,5373.0
2.74,1,7398.0
8.34,3,-78859.0
46.74,3,11685.0
6354.95,5,3177475.0
126.3,3,40416.0
38.04,2,-62485.0
7152.0,3,7152.0
6.63,3,2191822.0
5.88,2,1881731.0
2999.95,5,1379977.0
51.45,3,138915.0
11.96,2,5382.0
-282665.0,3,56301.0
18392.0,1,356965.0
129568.0,2,-259136.0
14112.0,9,-21168.0
210.98,2,21098.0
55176.0,3,-124146.0
66.26,2,271666.0
44249.0,5,10434.0
683952.0,3,42747.0
45696.0,3,-179577.0
36336.0,3,-72672.0
666248.0,1,-1499058.0
52512.0,6,19692.0
190.72,1,11.92
47.94,3,2397.0
979.95,5,274386.0
22.75,5,11375.0
16768.0,2,1012454.0
42616.0,7,-681856.0
10752.0,4,3.36
152.94,3,412938.0
283.92,4,70.98
468.9,6,206316.0
380864.0,8,380864.0
646776.0,9,-1455246.0
58112.0,2,7264.0
100792.0,1,400094.0
66112.0,4,-842928.0
41.28,6,13932.0
13.36,2,813914.0
250272.0,9,15642.0
11364.0,3,-17046.0
8.72,5,-1744.0
1121568.0,2,0.0
34504.0,1,-554285.0
10824.0,3,1390511.0
1295.78,2,3109872.0
19456.0,4,784603.0
44397.0,2,9936.0
1335.68,4,-217048.0
32.4,5,15552.0
42.6,3,16614.0
84056.0,7,273182.0
13.0,5,44256.0
13128.0,3,2134173.0
3.96,2,0.0
2.61,1,38718.0
374376.0,3,46797.0
91.84,8,450016.0
81088.0,7,273672.0
19.44,3,515968.0
451152.0,3,0.0
72.45,7,34776.0
13.96,4,846055.0
33264.0,7,133985.0
14.85,3,34790.0
8.82,3,699107.0
160.72,14,787528.0
19.92,4,2085050.0
44262.0,2,2.19
69712.0,2,8714.0
8792.0,1,-57148.0
51.52,4,1298804.0
470376.0,3,529173.0
105584.0,2,177753.0
31152.0,3,1149114.0
6783.0,7,-47481.0
406368.0,4,304776.0
70.98,1,2843871.0
294.93,3,1445157.0
84784.0,2,-201362.0
20736.0,4,247088.0
16821.0,3,-128961.0
10368.0,2,1602746.0
9344.0,2,1168.0
31.2,3,9.75
76.12,2,220748.0
1199976.0,3,4349913.0
445.96,5,55745.0
327.76,8,917728.0
11632.0,2,-628945.0
143982.0,3,-287964.0
494376.0,4,-1153544.0
5.84,2,0.73
142776.0,1,17847.0
45696.0,3,-179577.0
7218.0,3,-55338.0
43188.0,4,-316712.0
131904.0,3,478152.0
3282.0,2,-26256.0
21168.0,9,699107.0
55188.0,2,-101178.0
369576.0,3,415773.0
15712.0,4,1846789.0
8448.0,2,2.64
728946.0,9,-1579383.0
119.94,10,15992.0
3648.0,2,-27968.0
40.48,2,157872.0
9.94,2,-396592.0
107424.0,9,33.57
37.91,1,2936459.0
88.02,3,272862.0
8.69,5,-14773.0
301.96,2,875684.0
555.21,5,178901.0
523.48,4,130.87
161.82,9,469278.0
35.56,7,-363445.0
97.16,2,281764.0
15.24,5,-169716.0
13.23,3,-380429.0
243384.0,3,-517191.0
119.8,5,29.95
300768.0,4,300768.0
17.88,3,980710.0
235944.0,3,855297.0
392.94,3,432234.0
18882.0,3,-138468.0
122328.0,3,156660.0
-310788.0,5,272792.0
15424.0,4,-647087.0
18.84,3,-588617.0
